# Entropy Sorting merger, performed at 12-09-2025 15:47:07
# star_mass = 17.2005276668275151
# num_shells = 3904
# chemical_species = h1, he3, he4, c12, n14, o16
id      mass                      dm                        density                   entropy                   passive_scalar            mean_mu                   h1                        he3                       he4                       c12                       n14                       o16                       
0       8.1748222333383851e-03    8.1748222333383851e-03    5.6509942418048436e+00    1.4720714109010463e+09    1.0000000000000000e+00    7.7401579589988256e-01    4.4327895836310771e-01    3.8420506185987489e-08    5.4288539587335893e-01    9.8889789414677867e-05    8.7373944426726944e-03    6.0457585040843084e-04    
1       1.6349644466676770e-02    8.1748222333383851e-03    5.6618792971143170e+00    1.4720714282796147e+09    1.0000000000000000e+00    7.7401579590265368e-01    4.4327895835935521e-01    3.8420503922654104e-08    5.4288539587715201e-01    9.8889789637538253e-05    8.7373944424216747e-03    6.0457585039816453e-04    
2       2.4524466700015155e-02    8.1748222333383851e-03    5.6401342411702959e+00    1.4720714768154461e+09    1.0000000000000000e+00    7.7401579589712100e-01    4.4327895836684755e-01    3.8420508436494248e-08    5.4288539586957885e-01    9.8889789194723686e-05    8.7373944429203591e-03    6.0457585041865769e-04    
3       3.2699288933353540e-02    8.1748222333383851e-03    5.6727895888436226e+00    1.4720715284979346e+09    1.0000000000000000e+00    7.7401579590543357e-01    4.4327895835559017e-01    3.8420501646407132e-08    5.4288539588095830e-01    9.8889789863344891e-05    8.7373944421672498e-03    6.0457585038785832e-04    
4       4.0874111166691929e-02    8.1748222333383851e-03    5.6292991148406113e+00    1.4720716264037731e+09    1.0000000000000000e+00    7.7401579589436831e-01    4.4327895837057490e-01    3.8420510674260586e-08    5.4288539586581175e-01    9.8889788977636311e-05    8.7373944431647140e-03    6.0457585042884528e-04    
5       4.9003567302033674e-02    8.1294561353417449e-03    5.6836949963968708e+00    1.4720717092503989e+09    1.0000000000000000e+00    7.7401579590821523e-01    4.4327895835182290e-01    3.8420499363510866e-08    5.4288539588476725e-01    9.8889790091503528e-05    8.7373944419100926e-03    6.0457585037754073e-04    
6       5.7178389535372062e-02    8.1748222333383851e-03    5.6184886823397608e+00    1.4720718595442884e+09    1.0000000000000000e+00    7.7401579589162506e-01    4.4327895837428999e-01    3.8420512899371914e-08    5.4288539586205764e-01    9.8889788763376846e-05    8.7373944434058024e-03    6.0457585043899396e-04    
7       6.5307845670713807e-02    8.1294561353417449e-03    5.6945953443789206e+00    1.4720719724747794e+09    1.0000000000000000e+00    7.7401579591099856e-01    4.4327895834805336e-01    3.8420497074021838e-08    5.4288539588857876e-01    9.8889790322021715e-05    8.7373944416501929e-03    6.0457585036721175e-04    
8       7.3482667904052196e-02    8.1748222333383851e-03    5.6077027651818101e+00    1.4720721759439614e+09    1.0000000000000000e+00    7.7401579588889080e-01    4.4327895837799264e-01    3.8420515111912876e-08    5.4288539585831619e-01    9.8889788551906994e-05    8.7373944436436712e-03    6.0457585044910414e-04    
9       8.1612124039393941e-02    8.1294561353417449e-03    5.7055212017402042e+00    1.4720723171780624e+09    1.0000000000000000e+00    7.7401579591379155e-01    4.4327895834427111e-01    3.8420494771500010e-08    5.4288539589240348e-01    9.8889790555575425e-05    8.7373944413867873e-03    6.0457585035684255e-04    
