# Entropy Sorting merger, performed at 12-09-2025 15:47:07
# star_mass = 16.3388431180549389
# num_shells = 151
# chemical_species = h1, he3, he4, c12, n14, o16
id      mass                      dm                        density                   entropy                   passive_scalar            mean_mu                   h1                        he3                       he4                       c12                       n14                       o16                       
0       1.3060591187316525e-01    1.3060591187316525e-01    5.6560210871027596e+00    1.4720722876386964e+09    1.0000000000000000e+00    7.7401579590130476e-01    4.4327895836118070e-01    3.8420504968458830e-08    5.4288539587531082e-01    9.8889789551939909e-05    8.7373944425172163e-03    6.0457585040310415e-04    
1       2.6113241877070015e-01    1.3052650689753487e-01    5.6535392114157679e+00    1.4720775633975971e+09    1.0000000000000000e+00    7.7401579590153535e-01    4.4327895836086412e-01    3.8420504441331235e-08    5.4288539587565421e-01    9.8889789709954705e-05    8.7373944423339150e-03    6.0457585040190535e-04    
2       3.9175947473075540e-01    1.3062705596005533e-01    5.6162126942866992e+00    1.4720880771904702e+09    1.0000000000000000e+00    7.7401579589370839e-01    4.4327895837145459e-01    3.8420510156071200e-08    5.4288539586499518e-01    9.8889789355178682e-05    8.7373944427230378e-03    6.0457585043022612e-04    
3       5.2197635084168603e-01    1.3021687611093086e-01    5.6303065656290894e+00    1.4721035809731629e+09    1.0000000000000000e+00    7.7401579589991654e-01    4.4327895836303333e-01    3.8420504076491096e-08    5.4288539587357842e-01    9.8889790271960591e-05    8.7373944416744911e-03    6.0457585040618828e-04    
4       6.5275468983657148e-01    1.3077833899488528e-01    5.5151429862674588e+00    1.4721234409934897e+09    1.0000000000000000e+00    7.7401579587344771e-01    4.4327895839886128e-01    3.8420524312612456e-08    5.4288539583745099e-01    9.8889788668013391e-05    8.7373944434610794e-03    6.0457585050297132e-04    
5       7.8404275407858970e-01    1.3128806424201842e-01    5.4024373386016284e+00    1.4721459963836849e+09    1.0000000000000000e+00    7.7401579584787128e-01    4.4327895843347598e-01    3.8420543335809600e-08    5.4288539580257422e-01    9.8889787280585770e-05    8.7373944449982508e-03    6.0457585059610667e-04    
6       9.0476360994610827e-01    1.2072085586751863e-01    5.3594729844674438e+00    1.4721682363709321e+09    1.0000000000000000e+00    7.7401579584163249e-01    4.4327895844189918e-01    3.8420546349353225e-08    5.4288539579418849e-01    9.8889787537373308e-05    8.7373944446800644e-03    6.0457585061736733e-04    
7       1.0135039405746245e+00    1.0874033062851682e-01    5.2584654012148624e+00    1.4721901274214745e+09    1.0000000000000000e+00    7.7401579581940683e-01    4.4327895847197230e-01    3.8420562140469161e-08    5.4288539576392281e-01    9.8889786539076797e-05    8.7373944457743540e-03    6.0457585069781307e-04    
8       1.1283926308635051e+00    1.1488869028888099e-01    5.1712516509617084e+00    1.4722143905165544e+09    1.0000000000000000e+00    7.7401579580117386e-01    4.4327895849663562e-01    3.8420574411201138e-08    5.4288539573913641e-01    9.8889785923125483e-05    8.7373944464356444e-03    6.0457585076332165e-04    
9       1.2508961468581816e+00    1.2250351599467546e-01    5.1626950247298602e+00    1.4722447316826806e+09    1.0000000000000000e+00    7.7401579580616320e-01    4.4327895848984827e-01    3.8420567736930378e-08    5.4288539574615258e-01    9.8889787240395764e-05    8.7373944449169634e-03    6.0457585074259474e-04    
10      1.3681908941831531e+00    1.1729474732497225e-01    5.2229016873996521e+00    1.4722794575217197e+09    1.0000000000000000e+00    7.7401579583061519e-01    4.4327895845670229e-01    3.8420545439652571e-08    5.4288539577982053e-01    9.8889790168273987e-05    8.7373944415824901e-03    6.0457585064958386e-04    
11      1.4752356675182132e+00    1.0704477333506024e-01    5.1174765020316686e+00    1.4723132632598934e+09    1.0000000000000000e+00    7.7401579580864055e-01    4.4327895848642529e-01    3.8420560009797321e-08    5.4288539574995820e-01    9.8889789479283334e-05    8.7373944423173519e-03    6.0457585072839777e-04    
12      1.5831899882637910e+00    1.0795432074557706e-01    5.1875557333030260e+00    1.4723438298970044e+09    1.0000000000000000e+00    7.7401579583582647e-01    4.4327895844957277e-01    3.8420535438724789e-08    5.4288539578739370e-01    9.8889792752540338e-05    8.7373944385891172e-03    6.0457585062489516e-04    
13      1.6831188532331074e+00    9.9928864969315523e-02    6.7797283561201356e+00    1.4723608146217933e+09    1.0000000000000000e+00    7.7401579627009587e-01    4.4327895786043503e-01    3.8420143201628641e-08    5.4288539638806110e-01    9.8889858306184530e-05    8.7373943635910382e-03    6.0457584893212543e-04    
14      1.7879004897471686e+00    1.0478163651406122e-01    6.6036582746405976e+00    1.4723650246248226e+09    1.0000000000000000e+00    7.7401579622387862e-01    4.4327895792320393e-01    3.8420188177477096e-08    5.4288539632371569e-01    9.8889849256096309e-05    8.7373943739869897e-03    6.0457584911782140e-04    
15      1.8892092676201087e+00    1.0130877787293918e-01    6.6605169765345318e+00    1.4723716431019368e+09    1.0000000000000000e+00    7.7401579624689554e-01    4.4327895789186195e-01    3.8420163072297986e-08    5.4288539635625455e-01    9.8889856212900406e-05    8.7373943659577388e-03    6.0457584901836580e-04    
16      2.0000767392490029e+00    1.1086747162889418e-01    6.1501625032908471e+00    1.4723796816780324e+09    1.0000000000000000e+00    7.7401579613334870e-01    4.4327895804586770e-01    3.8420263514917546e-08    5.4288539619940368e-01    9.8889840074212106e-05    8.7373943844012269e-03    6.0457584945834946e-04    
