# 29-04-2026 10:47:57
# star_mass = 15.6269593047138304
# num_shells = 196
# element_names = h1, he3, he4, c12, n14, o16
id      mass                      dm                        radius                    density                   pressure                  e_thermal                 buoyancy                  temperature               mean_mu                   passive_scalar            h1                        he3                       he4                       c12                       n14                       o16                       
0       7.9970613169996457e-02    7.9970613169996457e-02    6.5399243296765761e-02    1.4118774737808989e+01    6.5877259917434072e+16    7.4222595407995220e+15    1.2823063293213094e+16    3.5454289996511661e+07    6.7245835547149024e-01    0.0000000000000000e+00    6.0130634777025771e-01    2.7628361692965696e-07    3.8469675105561130e-01    7.4774749740666129e-05    7.6665400361118777e-03    1.8605628441310754e-03    
1       1.5957214941542269e-01    7.9601536245426235e-02    2.2751412844175237e-01    1.3532123904629794e+01    6.2051485680986248e+16    7.2910940252373250e+15    1.2951812814292434e+16    3.4860382126921281e+07    6.7245835544100840e-01    0.0000000000000000e+00    6.0130634782537695e-01    2.7628388087689507e-07    3.8469675099732448e-01    7.4774733052129387e-05    7.6665400547279751e-03    1.8605628451069185e-03    
2       2.4008265937947340e-01    8.0510509964050708e-02    2.7256706379977574e-01    1.3093190227028659e+01    5.9255805016809336e+16    7.1939375687176070e+15    1.3059226671322440e+16    3.4416962763988905e+07    6.7245835541694876e-01    0.0000000000000000e+00    6.0130634786881054e-01    2.7628408525102137e-07    3.8469675095175587e-01    7.4774722028491642e-05    7.6665400669350750e-03    1.8605628458541279e-03    
3       3.2092595239573135e-01    8.0843293016257950e-02    3.0765723243188337e-01    1.2709717646995468e+01    5.6851489456214168e+16    7.1085773983185920e+15    1.3159162604111348e+16    3.4025991686658703e+07    6.7245835539578080e-01    0.0000000000000000e+00    6.0130634790697812e-01    2.7628426151203675e-07    3.8469675091194250e-01    7.4774713694644317e-05    7.6665400760950846e-03    1.8605628464973447e-03    
4       4.0333506817728826e-01    8.2409115781556908e-02    3.3826702738254705e-01    1.2359822093453648e+01    5.4693532394011216e+16    7.0309575777688950e+15    1.3257167374965970e+16    3.3668633145685874e+07    6.7245835537637177e-01    0.0000000000000000e+00    6.0130634794193982e-01    2.7628441968363264e-07    3.8469675087564775e-01    7.4774707080158285e-05    7.6665400833050637e-03    1.8605628470766832e-03    
5       4.8237903419129569e-01    7.9043966014007427e-02    3.6372247503161803e-01    1.2034518525408096e+01    5.2718106430995568e+16    6.9590609188287960e+15    1.3354678385181112e+16    3.3335957518482063e+07    6.7245835535839438e-01    0.0000000000000000e+00    6.0130634797429605e-01    2.7628456283433393e-07    3.8469675084219607e-01    7.4774701762028085e-05    7.6665400890470452e-03    1.8605628476052575e-03    
6       5.6306101711518475e-01    8.0681982923889062e-02    3.8643515412008450e-01    1.1745673353151178e+01    5.0989519783172752e+16    6.8955293377400310e+15    1.3447012639555142e+16    3.3040506309254669e+07    6.7245835534256904e-01    0.0000000000000000e+00    6.0130634800275917e-01    2.7628468582809100e-07    3.8469675081287275e-01    7.4774697683358026e-05    7.6665400934034945e-03    1.8605628480646854e-03    
7       6.4663641516882187e-01    8.3575398053637118e-02    4.0822914906434526e-01    1.1459193740367260e+01    4.9298932746426648e+16    6.8328523359863510e+15    1.3544424250457674e+16    3.2747559080837503e+07    6.7245835532703924e-01    0.0000000000000000e+00    6.0130634803067384e-01    2.7628480350241864e-07    3.8469675078420229e-01    7.4774694188274626e-05    7.6665400970908531e-03    1.8605628485106737e-03    
8       7.3376125310494777e-01    8.7124837936125910e-02    4.2767877520092668e-01    1.1181591212702330e+01    4.7683720750017776e+16    6.7725083556970390e+15    1.3644907475852058e+16    3.2463997870334081e+07    6.7245835531218079e-01    0.0000000000000000e+00    6.0130634805736749e-01    2.7628491302530264e-07    3.8469675075686199e-01    7.4774691282421713e-05    7.6665401001112478e-03    1.8605628489332619e-03    
9       8.1775758345225147e-01    8.3996330347303694e-02    4.4736312572840381e-01    1.0915553025316068e+01    4.6156961749705792e+16    6.7150510004972180e+15    1.3747240804840016e+16    3.2192541693903238e+07    6.7245835529812181e-01    0.0000000000000000e+00    6.0130634808261330e-01    2.7628501372316090e-07    3.8469675073106741e-01    7.4774688892299758e-05    7.6665401025527626e-03    1.8605628493297906e-03    
10      8.9757628187561278e-01    7.9818698423361312e-02    4.6343085602003076e-01    1.0665776787364436e+01    4.4742883414483680e+16    6.6615429182334780e+15    1.3849300613142290e+16    3.1938283648931544e+07    6.7245835528510545e-01    0.0000000000000000e+00    6.0130634810597694e-01    2.7628510419274406e-07    3.8469675070724763e-01    7.4774686971226540e-05    7.6665401044751173e-03    1.8605628496942449e-03    
11      9.9582396447599997e-01    9.8247682600387187e-02    4.8221474262461878e-01    1.0391549298319577e+01    4.3212417722035560e+16    6.6033952675634010e+15    1.3968738233759990e+16    3.1660168306270506e+07    6.7245835527103748e-01    0.0000000000000000e+00    6.0130634813121986e-01    2.7628519877930514e-07    3.8469675068156350e-01    7.4774685185707921e-05    7.6665401062158290e-03    1.8605628500855515e-03    
12      1.0817634016729087e+00    8.5939437196908774e-02    5.0042352633028409e-01    1.0145717891888157e+01    4.1860063393327344e+16    6.5518418283577350e+15    1.4082919224873294e+16    3.1411876025183976e+07    6.7245835525855158e-01    0.0000000000000000e+00    6.0130634815361705e-01    2.7628527995065951e-07    3.8469675065881420e-01    7.4774683820285769e-05    7.6665401075066298e-03    1.8605628504309137e-03    
