# 12-09-2025 15:49:25
# star_mass = 15.6269569279461766
# num_shells = 143
# element_names = h1, he3, he4, c12, n14, o16
id      mass                      dm                        radius                    density                   pressure                  e_thermal                 buoyancy                  temperature               mean_mu                   passive_scalar            h1                        he3                       he4                       c12                       n14                       o16                       
0       1.1744473665331744e-01    1.1744473665331744e-01    7.1563808707187218e-02    1.3967839996433952e+01    6.4888182661247032e+16    7.3890209313291610e+15    1.2855938573043736e+16    3.5303663293428682e+07    6.7245835546396504e-01    0.0000000000000000e+00    6.0130634778386904e-01    2.7628368227850459e-07    3.8469675104119827e-01    7.4774745504677684e-05    7.6665400408419690e-03    1.8605628443732424e-03    
1       1.7347585791106185e-01    5.6031121257744398e-02    2.4644588301067313e-01    1.3382671731636401e+01    6.1092332899364360e+16    7.2578020230769430e+15    1.2987032842255838e+16    3.4708898375611238e+07    6.7245835543298749e-01    0.0000000000000000e+00    6.0130634783986447e-01    2.7628394952073522e-07    3.8469675098208594e-01    7.4774729146421991e-05    7.6665400590645392e-03    1.8605628453584528e-03    
2       3.2107625199863316e-01    1.4760039408757131e-01    2.9098544173146174e-01    1.2858181484802543e+01    5.7780524993955816e+16    7.1420191891712500e+15    1.3120468165279812e+16    3.4178979629271142e+07    6.7245835540420495e-01    0.0000000000000000e+00    6.0130634789178961e-01    2.7628419145180927e-07    3.8469675092778083e-01    7.4774716981003132e-05    7.6665400724847095e-03    1.8605628462416753e-03    
3       4.0007416134074292e-01    7.8997909342109762e-02    3.3816641045396906e-01    1.2366242194372148e+01    5.4732094049741408e+16    7.0322736542355190e+15    1.3255082699185484e+16    3.3674816314322665e+07    6.7245835537682230e-01    0.0000000000000000e+00    6.0130634794112914e-01    2.7628441606816420e-07    3.8469675087648714e-01    7.4774707219731995e-05    7.6665400831538687e-03    1.8605628470633778e-03    
4       4.9126656140797192e-01    9.1192400067229007e-02    3.6456678994425190e-01    1.2031810878162744e+01    5.2701477748756400e+16    6.9584170404726290e+15    1.3355416676455636e+16    3.3333019619820405e+07    6.7245835535835430e-01    0.0000000000000000e+00    6.0130634797436777e-01    2.7628456310866926e-07    3.8469675084212351e-01    7.4774701758839338e-05    7.6665400890498113e-03    1.8605628476063480e-03    
5       6.2843009023923846e-01    1.3716352883126653e-01    3.9547876044732705e-01    1.1614418090299438e+01    5.0213053850440064e+16    6.8669332944443880e+15    1.3491256208281764e+16    3.2906860744881868e+07    6.7245835533559506e-01    0.0000000000000000e+00    6.0130634801529548e-01    2.7628473882195941e-07    3.8469675079999288e-01    7.4774696090776111e-05    7.6665400950860713e-03    1.8605628482651845e-03    
6       7.0976102606957236e-01    8.1330935830333906e-02    4.2313929908454517e-01    1.1245640051966189e+01    4.8053626070989248e+16    6.7862754831095560e+15    1.3620896584764034e+16    3.2528960018956326e+07    6.7245835531567577e-01    0.0000000000000000e+00    6.0130634805108973e-01    2.7628488755988907e-07    3.8469675076328491e-01    7.4774691927430363e-05    7.6665400994454010e-03    1.8605628488342198e-03    
7       8.1875386007111350e-01    1.0899283400154114e-01    4.4415025064487190e-01    1.0938831430996585e+01    4.6289654402691384e+16    6.7200515275177890e+15    1.3738012079774996e+16    3.2216238932410114e+07    6.7245835529945575e-01    0.0000000000000000e+00    6.0130634808021788e-01    2.7628500420611089e-07    3.8469675073351411e-01    7.4774689114455914e-05    7.6665401023264653e-03    1.8605628492922074e-03    
8       9.1406465020422611e-01    9.5310790133112611e-02    4.6629498556976956e-01    1.0634152530364760e+01    4.4564746480902936e+16    6.6547258771925450e+15    1.3862484589612520e+16    3.1905870924761564e+07    6.7245835528356257e-01    0.0000000000000000e+00    6.0130634810874584e-01    2.7628511469866497e-07    3.8469675070442844e-01    7.4774686764100367e-05    7.6665401046791268e-03    1.8605628497372604e-03    
9       1.0183601567069680e+00    1.0429550650274189e-01    4.8575960730160805e-01    1.0344853999481250e+01    4.2953466384575576e+16    6.5934475994100630e+15    1.3989624519719340e+16    3.1612523970735937e+07    6.7245835526874476e-01    0.0000000000000000e+00    6.0130634813533290e-01    2.7628521386504462e-07    3.8469675067738346e-01    7.4774684921517017e-05    7.6665401064684585e-03    1.8605628501490860e-03    
