# 12-09-2025 15:48:49
# star_mass = 7.1063820468268721
# num_shells = 1962
# element_names = h1, he3, he4, c12, n14, o16
id      mass                      dm                        radius                    density                   pressure                  e_thermal                 buoyancy                  temperature               mean_mu                   passive_scalar            h1                        he3                       he4                       c12                       n14                       o16                       
0       5.5579837613396999e-07    5.5579837613396999e-07    3.9344491846427555e-03    1.2854790822615643e+01    4.9196890635503112e+16    5.9701483976658800e+15    1.2724592544348134e+16    2.9715676268750627e+07    6.7245835549359412e-01    0.0000000000000000e+00    6.0130634773022895e-01    2.7628342326359577e-07    3.8469675109823415e-01    7.4774763599789261e-05    7.6665400205789781e-03    1.8605628434041292e-03    
1       1.1115964784964268e-06    5.5579810258583174e-07    4.9571069800778047e-03    1.2854603503323109e+01    4.9195735951635232e+16    5.9700928852837670e+15    1.2724631427676098e+16    2.9715424692359518e+07    6.7245835549359101e-01    0.0000000000000000e+00    6.0130634773023495e-01    2.7628342329281088e-07    3.8469675109822776e-01    7.4774763597519674e-05    7.6665400205815290e-03    1.8605628434042402e-03    
2       2.2231926784875387e-06    1.1115962003058457e-06    6.2455888136117447e-03    1.2854380489560363e+01    4.9194361255430456e+16    5.9700267949745940e+15    1.2724677723138522e+16    2.9715125177081164e+07    6.7245835549358657e-01    0.0000000000000000e+00    6.0130634773024272e-01    2.7628342333037616e-07    3.8469675109821955e-01    7.4774763594601503e-05    7.6665400205848085e-03    1.8605628434043831e-03    
3       4.4463850808366631e-06    2.2231924021908737e-06    7.8690009261081616e-03    1.2854026477592909e+01    4.9192179096978632e+16    5.9699218829683600e+15    1.2724751217507572e+16    2.9714649723921575e+07    6.7245835549357924e-01    0.0000000000000000e+00    6.0130634773025593e-01    2.7628342339477740e-07    3.8469675109820534e-01    7.4774763589599048e-05    7.6665400205904299e-03    1.8605628434046281e-03    
4       8.8927698855349120e-06    4.4463848043817474e-06    9.9144249791877359e-03    1.2853464520124536e+01    4.9188715228326656e+16    5.9697553449643940e+15    1.2724867894189332e+16    2.9713894982912172e+07    6.7245835549356670e-01    0.0000000000000000e+00    6.0130634773027869e-01    2.7628342350518100e-07    3.8469675109818102e-01    7.4774763581024310e-05    7.6665400206000663e-03    1.8605628434050483e-03    
5       1.7785539494931412e-05    8.8927696095530583e-06    1.2491603416360934e-02    1.2852572472824709e+01    4.9183216912841920e+16    5.9694909806966010e+15    1.2725053135285234e+16    2.9712696889947288e+07    6.7245835549354527e-01    0.0000000000000000e+00    6.0130634773031755e-01    2.7628342369443505e-07    3.8469675109813939e-01    7.4774763566328261e-05    7.6665400206165826e-03    1.8605628434057683e-03    
6       3.5571078715302345e-05    1.7785539220685277e-05    1.5738855844566052e-02    1.2851156448474653e+01    4.9174489470016032e+16    5.9690713240477580e+15    1.2725347257554892e+16    2.9710794993634246e+07    6.7245835549350852e-01    0.0000000000000000e+00    6.0130634773038427e-01    2.7628342401882257e-07    3.8469675109806795e-01    7.4774763541146405e-05    7.6665400206448811e-03    1.8605628434070023e-03    
7       7.1142157156833165e-05    3.5571078441370663e-05    1.9830559633960645e-02    1.2848908682526915e+01    4.9160637003113880e+16    5.9684051487309360e+15    1.2725814323247232e+16    2.9707775813064620e+07    6.7245835549344524e-01    0.0000000000000000e+00    6.0130634773049862e-01    2.7628342457474628e-07    3.8469675109794560e-01    7.4774763498011408e-05    7.6665400206933553e-03    1.8605628434091169e-03    
8       1.2256457361471161e-04    5.1422416457780963e-05    2.3774010626058981e-02    1.2846000101009611e+01    4.9142714100261480e+16    5.9675430441232790e+15    1.2726418960286958e+16    2.9703868580892824e+07    6.7245835549335731e-01    0.0000000000000000e+00    6.0130634773065839e-01    2.7628342535122038e-07    3.8469675109777474e-01    7.4774763437809633e-05    7.6665400207610061e-03    1.8605628434120701e-03    
9       1.7398699007259007e-04    5.1422416457780963e-05    2.6720099626746412e-02    1.2843131988932090e+01    4.9125042655794136e+16    5.9666928243519680e+15    1.2727015437976990e+16    2.9700015136323523e+07    6.7245835549326505e-01    0.0000000000000000e+00    6.0130634773082559e-01    2.7628342616402875e-07    3.8469675109759582e-01    7.4774763374846828e-05    7.6665400208317585e-03    1.8605628434151609e-03    
10      2.7683182298755799e-04    1.0284483291477242e-04    3.1196324898135425e-02    1.2839303921203351e+01    4.9101461089742136e+16    5.9655580364907570e+15    1.2727812240132910e+16    2.9694871743853264e+07    6.7245835549313726e-01    0.0000000000000000e+00    6.0130634773105740e-01    2.7628342729117851e-07    3.8469675109734780e-01    7.4774763287600401e-05    7.6665400209297964e-03    1.8605628434194461e-03    
11      4.8252148881828280e-04    2.0568966583033445e-04    3.7548431393766103e-02    1.2832746053846984e+01    4.9061074198022600e+16    5.9636138638511030e+15    1.2729178777742044e+16    2.9686059382599004e+07    6.7245835549290678e-01    0.0000000000000000e+00    6.0130634773147518e-01    2.7628342932205684e-07    3.8469675109690082e-01    7.4774763130611355e-05    7.6665400211061961e-03    1.8605628434271656e-03    
12      8.9390082047815448e-04    4.1137933165987921e-04    4.6125376799981459e-02    1.2821848412894363e+01    4.8993990404163416e+16    5.9603826170187010e+15    1.2731453899863850e+16    2.9671411829888582e+07    6.7245835549249988e-01    0.0000000000000000e+00    6.0130634773221237e-01    2.7628343290492235e-07    3.8469675109611240e-01    7.4774762854280260e-05    7.6665400214166700e-03    1.8605628434407789e-03    
13      1.7166594837986870e-03    8.2275866332054729e-04    5.7352441994867838e-02    1.2804104152280422e+01    4.8884839389901256e+16    5.9551199450220680e+15    1.2735169742353036e+16    2.9647552272338942e+07    6.7245835549179300e-01    0.0000000000000000e+00    6.0130634773349378e-01    2.7628343913266121e-07    3.8469675109474194e-01    7.4774762375761966e-05    7.6665400219542513e-03    1.8605628434644249e-03    
14      3.3621768104389626e-03    1.6455173266403051e-03    7.1796039428498271e-02    1.2775558241299047e+01    4.8709449464657696e+16    5.9466501171027870e+15    1.2741177089869078e+16    2.9609143606580369e+07    6.7245835549057598e-01    0.0000000000000000e+00    6.0130634773569969e-01    2.7628344984953053e-07    3.8469675109238388e-01    7.4774761557327535e-05    7.6665400228735263e-03    1.8605628435050705e-03    
15      6.1011111616832781e-03    2.7389343512440236e-03    8.7635613770108062e-02    1.2735053228082240e+01    4.8460982696338752e+16    5.9346197621453820e+15    1.2749756233952546e+16    2.9554572543863058e+07    6.7245835548872868e-01    0.0000000000000000e+00    6.0130634773904723e-01    2.7628346610460778e-07    3.8469675108880763e-01    7.4774760328106627e-05    7.6665400242537677e-03    1.8605628435666131e-03    
16      1.2282104882397470e-02    6.1809937207143997e-03    1.1080334108880939e-01    1.2667489494391953e+01    4.8047761886854776e+16    5.9145452226496040e+15    1.2764253790385788e+16    2.9463457828079462e+07    6.7245835548547173e-01    0.0000000000000000e+00    6.0130634774494884e-01    2.7628349474237520e-07    3.8469675108250767e-01    7.4774758191015667e-05    7.6665400266523872e-03    1.8605628436747887e-03    
